"","PD","SR","mpd.result","mntd.result","PD_sd","SR_sd","mpd.result_sd","mntd.result_sd"
"Abuna",-1.22939813877442,232,-3.35871475460766,-1.02632827651525,0.455896881352531,0,0.0471049278220233,0.561151899411372
"Amazon1",-0.117471199636097,166,0.267326100712399,-1.57597382786186,0.397838873184484,0,0.0352968506975584,0.488174132632245
"Amazon2",-0.55146342033214,542,-0.417418982433513,-1.18552754975112,0.524920463624952,0,0.0492336916465395,0.623343145170846
"Amazon5",-0.821538867207099,608,-0.175601856057165,-1.56323169693836,0.544782594678888,0,0.0538449253565527,0.63213192465188
"Amazon8",-1.27942084407286,566,-0.985932078534083,-1.55623540479769,0.547964822200812,0,0.051115049446262,0.639960759291369
"Amazon9",-1.65691171670784,525,1.46173711435325,-2.2606133568601,0.513477239561711,0,0.0490163080341741,0.620246335269246
"Andira1",-0.184977933199485,273,0.226463297630631,-0.902549191643983,0.430603335249815,0,0.0419888114549398,0.507933996530084
"Apaporis",-0.716579402344737,185,-1.29496193796102,-0.901573411467872,0.409101923007238,0,0.0474704334438792,0.475416401618356
"Apurimac1",-4.31773446091997,26,-4.56590044300307,-2.28781736698821,0.488393967065794,0,0.264056913863178,0.505615749631615
"Arinos",-1.08065370010172,147,-5.18329560504943,-1.3645877596199,0.465893125232341,0,0.0900710149784439,0.538242667114409
"Aripuana",0.280147769518768,543,-2.92396213362131,-0.155044229896303,0.497847703040304,0,0.0528171344425722,0.528577752952287
"Bacaja",0.634674920188973,178,-3.54061685038743,0.590311071467891,0.421173528011367,0,0.056417364871157,0.482307429506354
"Beni",0.770149186484733,424,-2.78945793962701,0.693878271580587,0.480216359990988,0,0.0522982566921264,0.554633039262446
"Blanco_Baures",-2.04737512959187,358,-2.97333314110345,-2.07969574485602,0.485321046838692,0,0.0491803091208001,0.576854039642048
"Branco",-0.877178022117559,706,-1.63154158675301,-1.9477204346607,0.607984606139633,0,0.0566865751020436,0.744841193395797
"Candeias",-1.48462798127605,456,-4.95288997028026,-1.65197741225076,0.503696949726211,0,0.0533997032415443,0.566676374962363
"Canuma",0.301121394160598,266,-0.671284168939372,-0.0283659614195696,0.429762069954359,0,0.0595552340887627,0.553486791444157
"Caqueta1",-1.3018775574703,482,-5.10854597293055,-1.18186704988856,0.487271984636891,0,0.0547891327556174,0.566216857063489
"Chapare",-1.59932486374062,237,-5.30250721977353,-0.814201061020139,0.436346465813351,0,0.0526934163301847,0.529159478997477
"Coari",1.22297637738177,307,0.436575584913954,0.256465020488275,0.459547583990681,0,0.0397234597181033,0.587432906181227
"Curaray",0.0376548563359275,576,-6.36876450725988,0.112704120093651,0.610049794197793,0,0.0520133235273284,0.669021893866024
"Curua",0.607591225161251,77,-0.142058178793602,0.408035174248391,0.371281023538068,0,0.0768690202273367,0.466507779096013
"Curua_Una",-0.32925107369062,176,0.0972619216266292,-1.1284237217843,0.444934023640509,0,0.0453063725775809,0.54502820289513
"Demini",0.501803816042974,218,-0.0183798990905759,-0.629062901799077,0.433116448186008,0,0.0435521304475345,0.523262640279437
"Fresco",-0.373530536616598,99,-1.87468309555967,0.155054735122144,0.387142458300335,0,0.104719248928369,0.42271994192682
"Grande",-1.43300223667303,155,-3.71396062257948,-1.07256838742384,0.390978729293144,0,0.058835764867286,0.443112402554999
"Guapore",-1.32510808416164,656,-3.14929984493597,-0.988887123050062,0.499011760348635,0,0.0590113108301978,0.567964565638995
"Huallaga",-1.66378125969978,237,-3.10728740693016,-1.9053339369387,0.440067358062728,0,0.0614147184397715,0.548832775620952
"Iriri",-3.29102141319441,324,-4.73682766884865,-2.23275986933362,0.52371012983164,0,0.0627158372468822,0.631125596750076
"Isiboro",-1.10944558710049,202,-4.32238963538225,-0.748074971904776,0.440622994777797,0,0.0508523609533916,0.532625729839059
"Itonamas",-0.357197574835433,342,-1.38095002978282,-0.795349814135882,0.458641721473233,0,0.0501022183929384,0.552862794184608
"Jamanxim",-2.02780223334248,301,-5.23453899363878,-1.06758177219491,0.463245265290866,0,0.0724591738375907,0.529638520579305
"Japura1",-1.41682891356251,540,-2.53084139319542,-2.12289452788873,0.570494106070127,0,0.0547303340054725,0.594746805339376
"Jari",0.500905624700449,207,-0.353792377185926,-0.204014170355625,0.365881902646212,0,0.0371057009438877,0.424299162816137
"Jatapu",-0.04023688646742,163,-0.84740548983503,-0.590245203664178,0.473795059661612,0,0.0490398206770635,0.588864544023151
"Javary1",-0.0822606664317926,520,-3.68434448242623,-0.250804605268895,0.509177506419674,0,0.0528890231792841,0.581222863725931
"Jiparana",-0.766641057119521,556,-5.57883187210669,-0.992209043027644,0.495963052151426,0,0.0610062472570683,0.556817197113667
"Jurua1",-0.388840017219806,532,-2.14717523313104,-0.712276899223809,0.578740505404126,0,0.0584944580103329,0.618005544151715
"Juruena1",-1.75033221270354,226,-2.48228891838935,-2.69239375500638,0.487954504935098,0,0.0536330620691029,0.543988185737262
"Jutai",-1.97908772367729,298,-0.735997797229189,-1.60468783153467,0.423305489781267,0,0.0493548758010804,0.478669590623822
"Luna",0.140615941875233,491,-0.391052967304053,-1.23308265977138,0.520706991785631,0,0.0473754500230817,0.591778917601973
"Madera1",0.125393324024734,453,0.660283949646989,-0.160099945022543,0.501697118676058,0,0.0450666732140467,0.629970310613272
"Madera2",-0.616146443628488,342,-0.134722322819702,-1.05535765267755,0.521376157871157,0,0.0477548631713758,0.577374326507861
"Madera3",-0.810687014843211,444,-2.35904593935934,-0.757767032634668,0.539136432170994,0,0.0569600526798678,0.615651588986172
"Madera4",0.406952460708725,629,-3.57413067856702,-0.398264280429759,0.553327136689157,0,0.0546534188785301,0.673882126665425
"Madera6",-1.31623377900954,335,-3.61668543040395,-0.922808639220994,0.476757475167448,0,0.0527588789531832,0.557987307297562
"Madre_Dios",0.126589207080645,570,-4.47961630248169,0.321284497881894,0.56429364771743,0,0.0625145516956287,0.6350571411904
"Mamore1",0.0201197086159126,493,-1.63416372300826,-0.120302317978418,0.547773632808911,0,0.0480162786617505,0.604952839311439
"Mamore2",-1.38037016605119,390,-3.21866956793349,-1.00598135390481,0.527495689326638,0,0.0488350527238245,0.617598933569507
"Mantaro",-2.21292775937109,7,-1.81345862665153,-1.84135626865282,0.172030149128107,0,0.100226620774334,0.291895022329176
"Maranon1",-0.151566425363758,252,-2.16825217794428,0.819667699744552,0.429249597691342,0,0.0659923926801222,0.51271753818078
"Maranon3",-1.22962591825073,282,-4.00423067145782,-0.147875345449224,0.494828511824615,0,0.059940190067857,0.526980335874527
"Maranon5",-3.08340844893659,226,-3.38047344151679,-2.50253091227855,0.514934445010736,0,0.0892975984094078,0.545235218021128
"Marmelos",0.416176369630606,202,-0.246132922245379,-0.101462780221767,0.422663933475345,0,0.0466743330536154,0.544406631872972
"Maues",1.10564936985448,187,0.986019069130416,0.163407610121356,0.418118615168842,0,0.0479786143424268,0.488608595884739
"Napo1",-1.12401582598434,259,-4.66441588933948,-1.27427794397279,0.379953287275956,0,0.0895468362810567,0.458361239825902
"Napo2",-0.520612606893028,492,-5.81770245709432,-0.772727944455415,0.523984278492557,0,0.0577744942666253,0.622398408966329
"Negro1",-2.11295995181151,761,-0.164923129847651,-2.7125993975291,0.562508146606162,0,0.0563249724007084,0.673919048009584
"Negro2",-1.62140219782518,393,0.22104379438076,-2.5875476382809,0.491607628338215,0,0.048132486369519,0.560996118944926
"Negro3",-1.91366379283293,601,-0.580008952599089,-3.26806231573389,0.414568534871802,0,0.0575156059951822,0.535902984728018
"Negro5",-2.6231139317045,489,-4.39742166748952,-2.56772539577961,0.485144155587437,0,0.0561298360768089,0.558614228675245
"Nhamunda",-2.8816882247485,224,0.883787083141001,-2.31744108270587,0.45195744664992,0,0.0426672929763622,0.518753384161362
"Orthon",-0.217895869400909,373,-3.91300116458119,0.394634431940869,0.491984799369043,0,0.0581664943912051,0.554669199626055
"Pachitea",-2.95300252993102,222,-4.3690633267977,-1.79065352829838,0.457713125718475,0,0.118054758403321,0.555167240648456
"Paru_Este",0.0538654041838267,21,-0.751396746146128,-0.475291843734086,0.226864785523678,0,0.0419096431049126,0.274940191642831
"Pastaza",-0.7624276646556,332,-5.21882785525049,-0.159413557025209,0.434827500270702,0,0.0626124455322128,0.543832708897639
"Purus1",-0.73160153047049,595,-1.38363854229855,-1.85921649108663,0.573073787770795,0,0.0531432743650502,0.643241503258623
"Purus2",0.73663898197526,256,-0.745564756976647,-0.459193899065402,0.407230413789521,0,0.0503812335629151,0.476487014393641
"Purus3",-1.25387899194485,405,-3.45062933075236,-1.51140430160883,0.501189501042877,0,0.0490302021383944,0.607735456997033
"Putumayo",-1.11279517944249,671,-3.62201154633471,-1.01681321088124,0.603345255071072,0,0.066952975136879,0.640777919502391
"Roosevelt",0.727128590902548,151,-2.06208444617883,0.47373839438882,0.469197207821918,0,0.0847985242155472,0.618947854106671
"Santiago",-2.45894127847245,205,-3.31286258442542,-2.29514878782089,0.410063500505978,0,0.0658304300373511,0.502935653505272
"Solimoes1",-0.575798756929641,573,0.272957313417242,-0.993715233450661,0.596002538397624,0,0.0498567863920438,0.641604752973988
"Solimoes2",-1.21770707142042,292,-0.251641292327881,-1.9879039570765,0.515497611389672,0,0.0454755033213604,0.585320748748788
"Solimoes3",0.567262324295259,332,-0.462339785034204,-0.355343237269388,0.481886238229546,0,0.0415123393461838,0.589005956263383
"Solimoes4",-0.986468934445142,400,0.683684210920161,-1.28455747171159,0.524596448899887,0,0.0431334767986515,0.613145366249051
"Solimoes7",-0.21700863247052,324,-2.12191815365732,-0.203056694779346,0.514267127962847,0,0.056764344118483,0.533578701162334
"Solimoes8",-1.39955452461255,690,-3.37256264873949,-1.45643709447976,0.567317191622438,0,0.0614066036249829,0.566601907147461
"Solimoes9",-0.877729321907467,644,-2.79788061091151,-0.802541121419209,0.52656724458388,0,0.0612876171656397,0.561109088918745
"Tapajos1",-0.341708096307501,646,-1.38440725343211,-1.17035553419322,0.508440318300175,0,0.0534069219955626,0.589657944456768
"Tapajos2",-0.415046023848216,355,-3.20238607075556,-0.104392136932223,0.50652918335161,0,0.0529344603429312,0.536181403995504
"Tapaua",1.1014676797029,108,-1.3020647362931,0.785310892115879,0.395632916397328,0,0.0840780357052266,0.503409910692712
"Tefe",-0.43127754340137,507,-1.75134865680803,-0.451569253357523,0.543719362128786,0,0.0520534712903537,0.589504623937142
"Teles_Pires",-2.16587801334287,431,-4.74571911056867,-2.07836011824455,0.499474861677423,0,0.0753154954078022,0.574542136390886
"Tigre",-2.30165628214195,270,-5.09907650367093,-1.29852611032901,0.446900789015812,0,0.113033243883939,0.514071320183659
"Trombetas1",-1.00248030247546,458,0.744941478393652,-1.39863414051604,0.494227790178901,0,0.0446637539978239,0.56710767852624
"Uatuma1",-0.29822716618431,361,-0.883488967862551,-1.19418730958562,0.496005884907378,0,0.0447641582863784,0.634395583464751
"Uaupes",-1.3730375918207,307,-2.28136398331314,-1.87669048691557,0.476243544569184,0,0.0529994711355422,0.584177101958332
"Ucayali1",-1.49819971010118,576,-4.05423346584912,-1.22668669367844,0.565355190466856,0,0.0624412751122094,0.647172674033177
"Ucayali2",-3.80689893809573,133,-3.31990102147072,-2.1025864536372,0.396252175269202,0,0.147257862845408,0.448244105810951
"Unini",0.818546558633819,258,-0.300779331291076,0.203200655924698,0.46286424516936,0,0.0462182692329012,0.583301389185127
"Urubamba",-4.23892395926062,233,-5.53307899373385,-3.52197763359015,0.439170361008083,0,0.097118618028268,0.518133797172694
"Xingu1",-0.783089225024125,609,-2.31201047165048,-0.914633639649171,0.572542974335619,0,0.0567263520261768,0.647473048893781
"Xingu3",-1.7555645686717,220,-2.97515276416317,-1.68809802859132,0.460108408695801,0,0.0540712974948589,0.537091885543378
"Xingu4",0.376547558839834,147,-1.67981191560766,0.613016287029508,0.441911690102809,0,0.0756261847826197,0.5603786450149
"Xingu6",-1.73738751433262,243,-3.67787260695729,-1.66682972290527,0.51436766776052,0,0.0752074850795731,0.543693942335568
"Yacuma",-0.411215323106905,228,-1.8880562098465,-0.102561761065844,0.463527353121299,0,0.0632335861607442,0.516790734724393
