basin;10;11;12;30;40;50;60;61;62;100;110;120;130;150;153;160;170;180;190;200;210;220
Abuna;1.5;0;0;0.4;2.8;94.7;0;0;0;0.2;0.1;0.1;0;0;0;0.1;0;0;0.1;0;0;0
Amazon1;0.2;0;0;0;0.5;63.1;0;0;0;1.1;0.8;0.4;0.5;0;0;23;0.2;0.5;0;0;9.7;0
Amazon2;0.8;0;0;0.3;4.3;72.9;0;0;0;1.7;0.3;0.5;0.1;0;0;3.9;0;3.4;0.1;0;11.5;0
Amazon5;0.9;0;0;0.5;3.7;41.4;0;0;0;1.6;0;0.3;0;0;0;8.2;0;12.6;0.3;0.6;29.8;0
Amazon8;0.4;0;0;0.4;1.5;77.1;0;0;0;0.1;0;0;0;0;0;7.1;0;2.1;0.2;0;11.1;0
Amazon9;1.2;0;0;0.9;2.6;68.4;0;0;0;0.5;0;0.2;0;0;0;6.4;0;2.3;0.3;0;17.1;0
Andira1;0.2;0;0;0.1;0.8;89.1;0;0;0;0.2;0;0.1;0;0;0;4.4;0;1.1;0.1;0;3.9;0
Apaporis;0.6;0.1;0;0.2;0.6;95.5;0;0;0;0.9;0.7;0.1;0;0;0;0.7;0;0.1;0;0;0.5;0
Apurimac1;1.4;0.5;0;6.9;0.6;15.7;0;0.3;0.1;3.7;0.2;8.4;58.2;1.1;0;0;0;0.1;0.2;2.2;0.2;0.3
Arinos;19.9;2.4;0;2.5;1.8;68;1.2;0.1;0;1;0.1;2.7;0;0;0;0.1;0;0.2;0;0;0.1;0
Aripuana;2.2;0.5;0;1.2;0.3;95;0;0;0;0;0;0;0;0;0;0.1;0;0.1;0.1;0;0.5;0
Bacaja;1.8;0;0;1;0.8;96.3;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0
Beni;0;0.2;0;0.4;0.6;71;0;0.3;0.1;2.9;0.6;5.7;10;1.1;0;0.6;0.1;5;0.2;0.2;0.5;0.4
Blanco_Baures;1.5;0.1;0;0.3;1.6;85.5;0;0;0;2;0.7;0.3;3.2;0;0;1.3;0;2.9;0;0;0.6;0
Branco;1.7;0.2;0;0.4;1.3;68.2;0;0;0;3.8;2.5;17.6;0.3;0;0;1.5;0;1.7;0.1;0;0.5;0
Candeias;8.1;8.7;0;3.9;0.8;75.2;0;0;0;0.2;0.1;0.6;0;0;0;0.3;0;0.3;0.3;0;1.4;0
Canuma;0.2;0;0;0.1;0.1;97.9;0;0;0;0;0;0;0;0;0;0.4;0;0.1;0;0;1.1;0
Caqueta1;5.9;0.1;0;0.8;3.5;86.8;0;0;0;0.3;0;0.1;0;0;0;1.1;0;0.4;0.1;0;0.9;0
Chapare;1.9;0.2;0;0.7;1;94.6;0;0;0;0.2;0;0;0.3;0;0;0.6;0;0;0.1;0;0.2;0
Coari;0;0;0;0;0;95.9;0;0;0;0;0;0;0;0;0;1.3;0;0.2;0.1;0;2.6;0
Curaray;0;0;0;0;0;98.3;0;0;0;0;0;0;0;0;0;0.7;0;0.6;0;0;0.4;0
Curua;0.2;0;0;0.1;1.2;97;0;0;0;0.2;0;0;0;0;0;0.7;0;0.2;0;0;0.4;0
Curua_Una;1.4;0.1;0;1.2;2.4;93.9;0;0;0;0;0;0.2;0;0;0;0.3;0;0.1;0;0;0.3;0
Demini;0;0;0;0;0.1;88.2;0;0;0;1;0.5;1.4;0.4;0;0;3.1;0;5;0;0;0.3;0
Fresco;17;0.9;0;2.3;3.8;72.6;0.1;0;0;1.3;0;0.1;0.3;0;0;0.2;0.1;1.2;0;0;0.1;0
Grande;16.1;1.6;0;2.6;3.8;34;0.8;1.9;0;5.4;0.3;7.7;17.6;4.7;0;0.4;0;0;0.8;1.7;0.5;0
Guapore;10.6;3;0;2.7;1.6;67.4;0.3;0.3;0;3.3;0.5;3.2;0.6;0;0;3.1;0;3.1;0.1;0;0.3;0
Huallaga;3.1;0.1;0;1.3;3.7;83.3;0;0.3;0;1.6;0;0.5;4;0;0;1.2;0;0.1;0.3;0;0.3;0
Iriri;0.6;0.2;0;0.3;0.4;97.5;0;0;0;0.3;0;0;0;0;0;0.1;0;0.1;0;0;0.4;0
Isiboro;0.7;0.1;0;0.2;0.9;89.7;0;0.3;0;1.4;0.1;0.7;3.8;0;0;1.6;0.1;0.1;0;0;0.3;0
Itonamas;9.4;1;0;1.9;4.5;46.5;6.5;5.9;0;11.6;0.9;3.1;5.9;0;0;1.1;0;1.1;0.1;0;0.5;0
Jamanxim;1.8;0.2;0;0.8;0.7;95.9;0;0;0;0.1;0;0;0;0;0;0.1;0;0.1;0;0;0.2;0
Japura1;0.2;0;0;0;1.1;83.6;0;0;0;0;0;0;0;0;0;10.2;0;0.8;0;0;4;0
Jari;0.1;0;0;0.1;0.2;98;0;0;0;0.1;0;0;0;0;0;0.8;0;0.3;0;0;0.3;0
Jatapu;0.2;0;0;0.1;0;98.9;0;0;0;0;0;0;0;0;0;0.2;0;0.1;0;0;0.5;0
Javary1;0;0;0;0;0;99.1;0;0;0;0;0;0;0;0;0;0.5;0;0.2;0;0;0.2;0
Jiparana;10.8;16.4;0;7.4;1.2;62.8;0;0;0;0.3;0;0.1;0;0;0;0.2;0;0;0.4;0;0.2;0
Jurua1;0.2;0;0;0.2;0.3;97.4;0;0;0;0;0;0;0;0;0;1.3;0;0.1;0.1;0;0.4;0
Juruena1;14.5;1.7;0;2;1.8;69.5;3.4;0.3;0;0.8;0;5.3;0;0;0;0.1;0;0.2;0.1;0;0.4;0
Jutai;0;0;0;0;0;97.2;0;0;0;0;0;0;0;0;0;2.1;0;0.2;0;0;0.5;0
Luna;0.2;0;0;0.1;0.8;92.3;0;0;0;0.2;0.2;0;0;0;0;2.3;0;0.8;0;0;2.9;0
Madera1;0.2;0;0;0.1;0.7;80.4;0;0;0;0;0;0;0;0;0;7;0;1.4;0.2;0;9.9;0
Madera2;0.4;0;0;0.2;0.7;95.5;0;0;0;0.2;0.1;0.1;0;0;0;0.9;0;0.3;0;0;1.5;0
Madera3;0.4;0;0;0.1;0.9;91.1;0;0;0;0.9;0.5;0.3;0.1;0;0;1.6;0;0.7;0.1;0;3.4;0
Madera4;8;0.8;0;1.4;0.6;82.8;0;0;0;0.8;0.3;2;0.1;0;0;0.5;0;0.6;0.3;0;2;0
Madera6;3;0.3;0;0.7;0.9;91.9;0;0;0;0.3;0.1;0.1;0;0;0;0.5;0;0.2;0.2;0;1.9;0
Madre_Dios;0.1;0;0;0.4;0.2;89.9;0;0.1;0;1.2;0.1;2;3.7;0;0;0.2;0;1.1;0;0.1;0.7;0.2
Mamore1;0.2;0.1;0;0.1;0.3;71.2;0;0;0;1;0.8;1.1;12.3;0;0;1.9;0.1;9.5;0.1;0;1.2;0
Mamore2;0.6;0;0;0;2.2;55.9;0;0;0;3.7;1.9;2.2;14.8;0;0;5.6;0.2;8.6;0.1;0;4.2;0
Mantaro;1.6;0.4;0;9.4;1;14;0;0.3;0;3.2;0.2;6.3;59.3;0.6;0;0;0;0;0.6;1.3;1;0.5
Maranon1;0;0;0;0;0.1;72.6;0;0;0;0;0;0;0;0;0;25.5;0;0.3;0;0;1.4;0
Maranon3;0;0;0;0;0.1;91.5;0;0;0;0;0;0;0;0;0;7.4;0;0.1;0;0;0.9;0
Maranon5;0.3;1.4;0;5.8;5.7;55.1;0;1.6;0.6;6.5;0.6;8;13.1;0.2;0;0.2;0;0.1;0.1;0.2;0.1;0.4
Marmelos;0.8;0.1;0;0.6;3.3;89;0;0;0;4.1;0.5;0.9;0;0;0;0.2;0;0.2;0;0;0.2;0
Maues;0;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0.3;0;0.1;0;0;1.5;0
Napo1;0;0;0;0;0.1;94.2;0;0;0;0;0;0;0;0;0;3.4;0;0.6;0;0;1.8;0
Napo2;1;0.6;0;1.6;2.3;89;0;0;0;0;0.1;0.4;0.9;0;0;2.3;0;0.2;0.2;0;1.2;0.1
Negro1;0.7;0;0;0.2;0.2;92.5;0;0;0;0.1;0;0;0.1;0;0;1.6;0;1.4;0.3;0;3;0
Negro2;0;0;0;0;0;79.8;0;0;0;0.1;0;0;0;0;0;8.3;0;7.2;0;0;4.5;0
Negro3;0;0;0;0;0;94.2;0;0;0;0;0;0;0;0;0;3.5;0;0.6;0;0;1.6;0
Negro5;0;0;0;0;0;97.8;0;0;0;0;0;0;0;0;0;1.4;0;0.4;0;0;0.4;0
Nhamunda;0.2;0;0;0.1;1.1;90.6;0;0;0;0.6;0.1;0.2;0.1;0;0;1.2;0;1.7;0;0.2;3.9;0
Orthon;0.1;0;0;0;0.3;98.5;0;0;0;0;0;0;0;0;0;0.9;0;0;0;0;0;0
Pachitea;1.1;0;0;0.6;1.2;93.9;0;0.2;0;1.3;0;0.5;0.4;0;0;0.3;0;0.1;0;0;0.4;0
Paru_Este;0;0;0;0;0.1;98.8;0;0;0;0.2;0.1;0;0;0;0;0.3;0;0.2;0;0;0.2;0
Pastaza;0.9;1.2;0;2.7;4.9;75.7;0;0;0;0.1;0.9;0.4;5.7;0.1;0;4;0;0.5;1.7;0.1;0.8;0.2
Purus1;0.1;0;0;0;0.1;85.8;0;0;0;0;0;0;0;0;0;9.7;0;1.4;0;0;2.7;0
Purus2;0.3;0;0;0.1;0.1;93.9;0;0;0;0.7;0.4;0.4;0.4;0;0;1.3;0;1.6;0;0;0.8;0
Purus3;0.7;0;0;0.2;1.9;96.1;0;0;0;0.1;0;0.1;0;0;0;0.4;0;0.2;0.1;0;0.2;0
Putumayo;0.7;0;0;0.2;0.6;94.3;0;0;0;0;0;0.1;0;0;0;2.4;0;0.4;0;0;1.2;0
Roosevelt;2.6;2.8;0;1.7;1;90.9;0;0;0;0.5;0.2;0.1;0;0;0;0.1;0;0;0;0;0.2;0
Santiago;1.5;2.3;0;2.8;5.7;79.4;0;0;0.1;0.1;0.7;0.5;3.6;0;0;1.7;0;0.2;0.8;0;0.4;0
Solimoes1;0.7;0;0;0.3;2.1;75.3;0;0;0;0.1;0;0;0;0;0;9.7;0;1.4;0;0;10.4;0
Solimoes2;0.2;0;0;0;0.9;80.1;0;0;0;0;0;0;0;0;0;12.1;0;1.2;0;0;5.5;0
Solimoes3;0.1;0;0;0;0.9;76.2;0;0;0;0;0;0;0;0;0;15.9;0;1.1;0;0.1;5.7;0
Solimoes4;0.3;0;0;0.1;1.8;77;0;0;0;0;0;0;0;0;0;11.6;0;1.8;0.1;0;7.3;0
Solimoes7;0;0;0;0;0.1;93.8;0;0;0;0;0;0;0;0;0;2.4;0;0.9;0;0;2.7;0
Solimoes8;0.1;0;0;0.1;0.3;92.9;0;0;0;0;0;0;0;0;0;3.1;0;0.5;0.1;0;3;0
Solimoes9;0.1;0;0;0.1;0.3;96.1;0;0;0;0;0;0;0;0;0;1.2;0;0.2;0.3;0;1.7;0
Tapajos1;0.9;0;0;0.7;1.6;87.6;0;0;0;0.1;0;0.2;0;0;0;1;0;0.2;0.1;0;7.5;0
Tapajos2;0.5;0;0;0.2;0.5;95.3;0;0;0;0.6;0.2;0.2;0;0;0;0.2;0;0.3;0;0;2;0
Tapaua;0;0;0;0;0;98.9;0;0;0;0;0;0;0;0;0;0.7;0;0.1;0;0;0.2;0
Tefe;0;0;0;0;0.1;96.4;0;0;0;0;0;0;0;0;0;1.6;0;0.1;0.1;0;1.6;0
Teles_Pires;17.8;3.8;0;3.3;1.5;67.1;0.7;0.1;0;1.1;0.1;3.4;0;0;0;0.2;0;0.3;0;0;0.4;0
Tigre;0;0;0;0;0;96.5;0;0;0;0;0;0;0;0;0;2.8;0;0.3;0.1;0;0.3;0
Trombetas1;0.1;0;0;0;0.1;94.6;0;0;0;0.7;1.6;0.5;0.6;0;0;0.4;0;0.3;0;0;1;0
Uatuma1;0.2;0;0;0.1;0.4;86.2;0;0;0;0.1;0;0;0;0;0;2.6;0;1;0;0;9.3;0
Uaupes;0.1;0.1;0;0.3;0.3;97;0;0;0;0;0;0;0;0;0;1;0;0.3;0.1;0;0.7;0
Ucayali1;0.5;0;0;0.2;0.7;93;0;0;0;0;0;0;0;0;0;3.7;0;0.5;0.1;0;1.3;0
Ucayali2;0.3;0.1;0;0.7;0.7;88;0;0.3;0;1.9;0;1.5;4.9;0;0;0.3;0;0.4;0.1;0;0.8;0.1
Unini;0;0;0;0;0;96.7;0;0;0;0;0;0;0;0;0;2.8;0;0.2;0;0;0.4;0
Urubamba;0.5;0.1;0;2;0.5;74.6;0;0.2;0;2.1;0;2.9;15.3;0.1;0;0;0;0.1;0.2;0.2;0.4;0.7
Xingu1;4.8;0.1;0;1.1;2.9;80.8;0;0;0;0.3;0.2;0;0.2;0;0;2.3;0;1.9;0;0;5.2;0
Xingu3;3.5;0;0;1.2;1.7;91.5;0;0;0;0;0;0;0;0;0;0.2;0;0.3;0;0;1.4;0
Xingu4;9.2;0.5;0;0.9;1.8;83.4;0.4;0;0;1.3;0.1;0.4;0.1;0;0;0.2;0.1;0.5;0;0;1;0
Xingu6;18.3;0.2;0;0.4;2.7;61.9;1.9;0.2;0;2.2;0.1;10.4;0.1;0;0;0.2;0;1.3;0;0;0.2;0
Yacuma;0.4;0;0;0.1;1.9;54.8;0;0;0;4;2.8;1.2;20.4;0;0;3.7;0;9.8;0.2;0;0.5;0
