"","BvNiv2","MAX12","STD12","MAX1","STD1","MAX2","STD2","MIN7","STD7","MIN8","STD8","MIN9","STD9"
"1","Jari",318,6.54821535464,305,6.83866545564,306,7.51239780902,179,8.34885281197,180,8.61110166853,179,9.09141256467
"2","Curua",319,6.21569570754,307,6.81922271096,305,6.66207287735,194,6.88532753808,195,7.33296796379,195,8.00574386636
"3","Paru_Este",319,6.04531961435,307,6.51600321366,306,6.65003999811,180,8.87895245428,180,9.2033989996,180,9.44160984265
"4","Curua_Una",316,3.62785698915,304,3.43113560167,299,3.30289646496,178,4.85041910087,183,4.8330436074,190,4.54034890819
"5","Tefe",316,2.42409044873,313,3.12663381551,314,2.64752929843,202,4.13422857349,204,4.66594406108,211,3.11931207983
"6","Jutai",311,1.70689417102,307,2.27745000747,308,1.99432549034,187,5.54577713337,191,4.81224430452,202,2.94389271083
"7","Putumayo",318,20.9323394694,323,21.0499057776,320,21.6002593824,13,20.5263404037,12,20.8714697685,13,21.2863127233
"8","Coari",311,1.23140597246,307,1.22742949128,309,1.32038569233,205,3.03001246729,207,3.21542676799,214,1.77178125432
"9","Nhamunda",323,2.5968039479,313,2.74403880461,312,2.57870630637,207,5.03304835823,208,5.04374060839,212,4.00268162585
"10","Jatapu",325,4.23061673822,317,5.08331647474,315,4.59126403384,168,6.30073863522,169,6.55515702738,177,5.2800100418
"11","Branco",335,18.1851952425,335,18.2584992492,330,16.4205310191,92,15.9695488837,94,16.1876375626,91,19.806740402
"12","Demini",326,11.2759552015,327,11.522882588,325,11.3914476261,105,11.6093277067,105,11.5919707618,106,11.9949723683
"13","Iriri",315,3.74071399797,301,3.43363011478,301,3.70008657459,138,13.5948694197,135,15.8249303019,157,11.0353690978
"14","Fresco",318,5.28459775659,310,5.62291904135,308,5.50551749575,143,6.49091108518,144,7.73432605517,156,6.35388660567
"15","Bacaja",309,3.34512367917,300,3.25775683631,300,3.97082687295,161,4.87844962498,167,4.17902476358,173,4.33078555314
"16","Jamanxim",319,3.7080232858,308,4.11643756438,307,3.64065292292,140,12.8736826814,140,13.4260367518,163,9.62235281583
"17","Jiparana",312,8.64469574523,306,8.17508764758,307,9.0472303703,111,17.2696310554,121,16.8023538138,138,16.3624807615
"18","Maues",318,2.57251290255,306,1.78679528615,307,1.92835768942,184,8.50833275431,192,7.67452394223,206,4.78880199169
"19","Luna",317,1.95554916577,307,1.19128783907,307,1.60414119475,207,4.79548751988,211,4.96369678893,214,5.49064092222
"20","Marmelos",314,1.40481618067,305,0.874572063641,306,1.20896490515,173,7.08598302451,186,5.36415077352,197,3.46169374532
"21","Candeias",312,3.44821227354,307,3.12782856091,302,3.37943976825,129,7.93520236122,135,8.54980456705,149,8.85499312125
"22","Abuna",318,2.12111823956,315,1.63536500788,312,2.24046879529,168,4.54880111671,176,3.78463487685,196,2.83163390595
"23","Tapaua",313,1.30662099312,309,1.55984750382,310,1.25195590332,181,5.30066326022,188,4.43519176271,200,3.18434252339
"24","Pachitea",326,40.1454317643,322,41.0045845962,316,42.2134500928,-64,56.0691337398,-57,53.8230298494,-40,50.944577207
"25","Tigre",323,3.55991036223,317,4.24834679764,318,2.66708528719,176,2.95779981123,176,3.31693983453,180,3.21147551117
"26","Huallaga",330,52.0055131618,336,55.4064748633,331,56.8149688677,-102,71.0622896546,-98,68.825465984,-80,65.8160100822
"27","Pastaza",324,69.7331562137,317,67.6015001827,319,71.0611307515,-106,69.7763540854,-110,70.267093739,-107,69.7419970481
"28","Santiago",326,55.5425371966,320,53.1173722971,321,56.0553176324,-23,54.0402402311,-26,53.613992863,-23,54.291575508
"29","Apaporis",318,4.45117662493,337,10.4977637294,336,8.89444135727,181,4.13333996924,179,3.68702454036,184,4.31471445102
"30","Curaray",315,5.660299871,314,7.62769394037,316,6.75110222713,152,5.97003580468,152,6.41677627042,155,5.10723615571
"31","Orthon",319,4.29019654099,315,4.23171901954,313,4.99025566192,149,9.04412277986,158,9.33720222078,177,9.10484771191
"32","Madre_Dios",320,48.5133401256,316,49.3550095286,314,50.0782791297,-166,71.9707529222,-159,70.2231837103,-119,63.2905143156
"33","Beni",320,57.6443346688,319,59.813578925,316,60.3358977086,-169,79.9124430258,-163,75.9569464335,-140,73.7120200589
"34","Itonamas",344,11.5791413201,334,9.40220362317,339,11.2067890601,-22,22.6045125174,-1,18.0880050333,27,15.3909621384
"35","Yacuma",320,6.39117235934,319,6.60250914094,318,6.89791541051,105,9.03265971634,115,6.79638714745,130,6.87682120625
"36","Isiboro",325,39.7597924662,321,42.0953491558,318,42.715448632,-72,51.9231382685,-59,51.278892195,-40,51.472771958
"37","Blanco_Baures",326,5.32706083883,322,3.84955673009,322,4.44794780173,114,12.7321096668,122,10.5096247087,146,7.86186225994
"38","Guapore",321,8.71382936628,321,10.330594397,318,10.6421858085,97,17.556775595,109,14.4548854685,136,10.8759826156
"39","Urubamba",315,68.1689069321,315,70.5989750696,309,70.6317757009,-179,105.465281626,-173,104.909651912,-135,90.7438888388
"40","Mantaro",306,49.9152260542,310,50.9449216195,306,51.4481166971,-126,49.2108466867,-122,51.037967174,-104,50.306580734
"41","Xingu1",321,7.99162001325,310,7.00551626223,308,7.70751474143,176,10.4573855615,180,9.90285636192,187,8.21801686921
"42","Xingu3",316,4.23292962169,303,4.02992661152,305,5.19284430201,151,6.10237376581,156,6.07604142862,164,5.58025817121
"43","Xingu4",327,5.97243750783,322,6.67300111595,323,6.68700130749,141,6.10286222623,141,6.46061285559,157,5.31474746555
"44","Xingu6",324,4.71217753679,317,4.86777581986,319,4.90701353892,105,9.27121598087,121,7.62549140702,150,6.01081616823
"45","Amazon1",318,3.40548614052,306,3.77026601546,306,3.83161280342,208,2.9494058896,209,2.9311951962,208,2.9901357098
"46","Amazon2",320,7.16097421563,308,7.79019377181,307,7.5088396228,186,8.1932695231,187,8.40023100965,187,8.83468076948
"47","Amazon5",321,2.13679621957,309,1.96918395699,308,2.43070735535,207,7.91391197469,210,7.35002628044,214,6.2233479488
"48","Tapajos1",322,4.29714629075,309,3.77507285642,310,4.3398264512,183,6.95491395018,186,6.78945532744,194,5.62487660311
"49","Tapajos2",319,3.9596973899,308,3.93548238959,309,3.77433359578,147,12.5988355207,152,11.885626878,175,8.1505984785
"50","Teles_Pires",323,5.48859090987,310,5.83562287932,312,5.9863846717,108,8.12063517986,123,8.9323509985,151,8.14256203531
"51","Andira1",320,1.5881654826,307,1.28734407524,307,1.40456006361,206,5.97974318192,211,5.17583607928,217,3.74653984605
"52","Canuma",317,2.88408370492,307,2.20526866174,307,1.97116643899,157,13.9220035399,168,11.8213777257,186,8.37064435795
"53","Madera1",316,0.645818799961,306,0.913254839177,305,0.84966532264,212,1.99083347043,216,1.94413674937,221,2.19284423333
"54","Madera2",317,1.85022022506,306,1.11775166929,304,0.93390550065,172,8.94299377129,184,6.47098345421,195,4.38332144263
"55","Madera3",314,1.00201462737,306,0.850045196892,307,1.15194573393,183,5.24956700849,194,3.39351188343,206,1.58904882172
"56","Madera4",314,2.6624916097,311,2.58440431732,307,3.78860822176,144,4.62062580982,148,6.96593168222,163,5.61334808173
"57","Madera6",314,1.60361948201,313,1.44216994832,309,1.82140704002,177,1.67588767788,174,2.99772404121,193,2.17898276411
"58","Mamore1",321,5.54526439085,320,5.78733783599,317,6.42422914307,130,6.42452507128,136,4.40847260831,149,5.76589720587
"59","Mamore2",324,3.44346223108,322,2.86015547992,320,4.24443256278,141,12.7207124996,151,6.98560381342,173,4.70843209741
"60","Purus1",314,1.91968131667,306,1.49307532657,309,1.78217443367,190,7.47276650075,202,5.24189045145,212,3.15482388438
"61","Purus2",314,0.77249821338,310,1.03181267883,310,5.34805608586,189,3.98509246235,199,2.02060890019,212,0.978275006368
"62","Purus3",316,2.98615676369,313,2.19769885094,314,4.21920382945,149,11.100047567,158,10.3871297149,178,9.73547963138
"63","Jurua1",316,2.18375833738,314,2.80174444148,313,2.58801467735,168,9.67760416701,173,8.15086988114,184,6.31131650184
"64","Javary1",322,2.84352596515,324,3.76672868039,322,3.0833634131,172,4.45000353599,179,3.93446965696,189,2.27227205587
"65","Ucayali1",330,6.91993033547,333,8.72795812182,328,8.75255518335,77,12.9750789251,86,13.4676801164,101,11.9594692985
"66","Ucayali2",326,57.32884721,322,60.1311216898,316,60.4389208969,-101,74.629467042,-95,73.606171305,-75,69.5702440015
"67","Maranon1",325,2.12430242007,326,2.94318698648,323,2.63718738278,198,2.47110688756,200,2.35274057559,196,4.31176232575
"68","Maranon3",326,15.1223131991,320,18.0407886576,321,18.5672522452,109,16.97144518,107,18.2154129624,110,16.5175273502
"69","Maranon5",325,57.7976942756,319,56.8932003818,320,59.4547835915,-151,80.2408539616,-152,77.5453265526,-133,74.5038119255
"70","Napo1",320,2.31956373935,315,1.16834346058,318,1.45731464342,198,1.56197007598,200,1.47635373162,198,2.76243198013
"71","Napo2",316,55.4782924297,318,56.0541913215,315,56.4045541969,-70,54.7773305936,-72,55.3063130864,-71,55.5094225699
"72","Japura1",315,3.11830024496,313,3.65431836997,314,3.71564344617,201,4.17624958264,203,4.24340766609,205,3.80542848262
"73","Caqueta1",323,27.1197703747,329,27.252509887,330,27.4997837349,14,25.4791871935,14,25.01005812,12,26.6633986141
"74","Negro1",329,4.71051330527,326,5.46614445697,323,4.39647130565,202,3.30766490699,203,3.93217227065,213,3.19488366938
"75","Negro2",326,3.25037832955,326,3.64209616468,325,2.90112244459,211,2.10304959285,213,1.88442610028,216,2.52745179348
"76","Uaupes",322,4.80197920455,346,11.2998036044,347,11.0336345648,181,4.20737857603,181,2.85864923569,182,4.84569542392
"77","Negro3",323,8.71777117542,324,9.72025582169,326,9.53776750215,79,8.20381107919,80,8.11603253305,79,8.26441144627
"78","Negro5",333,11.6572605163,336,12.1441485947,340,12.5342659798,79,9.52081375421,80,9.39829410751,80,9.45959540494
"79","Uatuma1",322,2.72157868509,316,4.11504347826,315,3.73245586317,208,3.10963862264,209,3.41901705523,214,2.96222453335
"80","Trombetas1",325,5.28720696723,312,5.90705791261,312,5.93278717809,176,8.35774464843,177,8.51362413041,180,8.492478224
"81","Amazon8",319,1.61157192139,309,1.89458561815,309,2.08204489987,215,2.96575740156,218,2.7381671204,223,2.15476920079
"82","Amazon9",318,1.46533198387,308,1.45010719552,308,1.80720146204,217,2.76747049167,220,2.89514018371,226,2.2959184611
"83","Solimoes1",317,1.85436157837,309,1.04377120828,310,1.13552828902,218,2.82344963177,221,3.22544693543,222,3.59885140868
"84","Solimoes2",313,2.51091942738,312,3.1547829533,312,2.98864278046,210,2.45256830278,213,2.28123325903,215,2.29385847788
"85","Solimoes3",315,1.78299929515,313,2.15091182508,313,2.18008642449,211,2.19834869216,214,1.94549659433,216,1.68970635903
"86","Solimoes4",316,3.26315725131,313,3.97400137611,314,4.03061164006,200,5.06416651373,205,4.80351821531,208,4.12584779177
"87","Solimoes7",311,1.59886192347,308,2.17963457239,309,2.40303138059,187,4.25093985855,192,3.9008060505,202,2.27359665501
"88","Solimoes8",318,2.22330187939,311,1.49138915042,315,2.03125334484,198,1.48928769538,202,1.28553480054,204,1.43939102156
"89","Solimoes9",321,2.09769874313,316,1.48085246296,318,1.98324565441,198,2.61339966803,199,2.34719550871,197,4.65434670082
"90","Juruena1",320,9.59938529756,315,8.51378858989,312,9.63625097996,110,16.4329188849,121,14.7397903562,139,13.9356591899
"91","Arinos",323,4.5506445109,316,5.02886983309,316,4.80057878527,134,6.95493972959,146,6.00755694778,166,4.28006440672
"92","Aripuana",316,6.28853561295,307,5.44066640523,305,5.92632031715,121,19.5297491745,136,16.8586940564,154,14.2677050937
"93","Roosevelt",313,8.82734937535,305,8.25622836292,305,9.25475622433,112,16.402333496,122,16.0821926055,139,14.7033044009
"94","Grande",336,44.6351597276,331,47.1157463061,329,49.0794874041,-115,66.867388368,-104,63.538706097,-80,62.2451309883
"95","Chapare",325,25.9361387848,321,26.8104981688,318,26.4188565178,-33,32.4942461377,-21,32.59333801,0,34.1108637578
"96","Unini",319,1.48776105998,316,1.62640612446,317,1.47126891897,212,1.97631500564,214,1.72724613426,216,2.02005662806
"97","Apurimac1",306,46.300719268,311,48.7364737155,306,48.5457691482,-163,62.4195890134,-163,63.0611904554,-126,54.9502947975
