"","tempMin","tempMax","tempMean","precMin","precMax","precAnn"
"Abuna",4.22322727246666,4.9794724427,4.10169108153334,-24.5983776240667,15.1241473013333,-95.4543814566669
"Amazon1",4.31807584013334,2.46699599066666,3.24999733023334,-63.1882031935333,-479.786450901667,-1355.32150721667
"Amazon2",4.9060038978,4.3953966172,4.28069689806667,-23.2825781522333,-142.75579579,-543.414251826667
"Amazon5",5.015871458,4.51670439176667,3.98062972703334,-48.3708234517333,-57.0251780736667,-386.847041903333
"Amazon8",4.52165683306667,3.55196602503333,3.62179309536667,-25.1002482281667,-54.0096423980001,-280.816023843333
"Amazon9",4.39345775266667,3.46821714683334,3.56734770076666,-25.3213322745333,-66.0526993983333,-245.066521979999
"Andira1",4.78410454476667,3.9972892664,3.76803296653333,-28.5034766339333,-75.2836521756666,-386.808822623333
"Apaporis",3.68534509053334,2.7241352047,3.5127138062,45.5199666744333,-103.867700301667,139.75424964
"Apurimac1",3.36748194384,4.43688426003333,4.01906886219667,-6.07320781118,20.0255863666667,38.4791318833334
"Arinos",4.05820555516667,4.6809270052,4.20281946843333,0.00690758934999947,3.43508492366669,-172.32116951
"Aripuana",4.19089892423334,4.33019579986667,3.8594798354,-2.0814855986,-5.97464211766663,-260.896200376667
"Bacaja",4.48577987156667,4.03536497696667,4.15863340126667,-2.23899971716666,-12.677333631,-227.89994731
"Beni",3.35863715742667,4.52245555889999,3.89851796803333,-20.3899168763333,9.22396595533334,-182.4820119
"Blanco_Baures",4.0882451133,5.64439088263333,4.512505297,-12.428734768,5.281635575,-145.220345573333
"Branco",4.51222475446666,2.9379769017,3.75560787636667,32.5839998597333,-34.805738774,75.9831430900001
"Candeias",4.56800854536667,5.07154007183334,4.12767849206667,-18.7726971320333,9.65364609033338,-163.653819136667
"Canuma",4.2563277477,3.7731137416,3.6176869517,-2.92399204263333,-64.767168678,-408.989721283333
"Caqueta1",3.89585852306667,3.02055883356667,3.64651581986667,39.3375406592,-92.9602924513333,52.7184600566666
"Chapare",3.45013030106,3.94841462943333,3.7300194654,-49.8726211450667,-25.4750170393333,-579.774448110001
"Coari",4.45798939683333,3.7262098247,3.66362883256667,-41.0496522559,-21.8400982066667,-111.82354035
"Curaray",4.08253224013334,2.64882104423334,3.32790205993334,53.517391777,-122.771414651667,26.9944154666669
"Curua",5.180030556,4.97865267983333,4.2727050907,0.376271655333326,-104.203818109333,-642.118406013333
"Curua_Una",4.670013323,4.36078556276667,4.18283534006667,-7.05569588813334,-53.6516882053334,-340.094841093333
"Demini",4.37436670476667,0.980520516333332,3.37448592463334,50.0105096556667,-70.7096782026667,71.8662451566665
"Fresco",4.22501126386667,4.20381527069999,4.036811346,0.542934522480001,-70.361256816,-226.151155513333
"Grande",3.37043908604667,4.22234273213333,3.88046065706667,-12.0587568302333,-0.671782098333352,-125.577444113333
"Guapore",4.38641630266667,5.2564790935,4.42599832883334,-12.1027938084333,9.7620462146667,-152.507714913333
"Huallaga",3.96568745904333,3.88899884946667,3.73870258566667,-3.66769358489999,-36.820393183,-169.671934313334
"Iriri",4.27886248663333,4.22998431786667,3.96371592536667,0.542061145166667,-52.838983222,-313.17596533
"Isiboro",3.40611364418,4.04564567493333,3.7415143907,-50.5862056663,-15.0597164943333,-545.774979276667
"Itonamas",3.77669373166666,4.69508539696666,4.08900703496667,-10.2345080702667,-0.0841712810000104,-114.16683667
"Jamanxim",4.2740597554,4.21356177623333,3.94648831936667,1.4915855964,-125.274520736667,-437.21418911
"Japura1",3.88823908066666,2.9907326897,3.50778041983333,22.4424309406667,-172.762397900667,-43.6327902900002
"Jari",4.57188097486667,3.9919041042,3.64715195213333,-32.0783086189667,-157.842632226667,-796.619816553333
"Jatapu",4.54427943956667,3.58770120986666,3.62718516133333,15.1126193346,4.32568854733336,-38.2900482566665
"Javary1",4.06216935376667,3.3360880448,3.65057502096667,-40.0702926283334,-65.4074989796666,-187.015834176667
"Jiparana",4.58999496406,5.1557002511,4.21322800316666,-6.87012909791,11.3713960553333,-151.546446546667
"Jurua1",3.92454672436667,3.4787213311,3.58917165443334,-32.0176031167333,-16.778034916,-144.229691266667
"Juruena1",4.18923129755667,4.5673571571,4.18919109183333,-1.17068243188667,3.97321238433329,-200.023014733333
"Jutai",4.18675262323333,3.08042402583333,3.49452649026667,-23.6572682216,-30.130256061,-30.3554858900002
"Luna",4.4964323456,3.86405694556666,3.70511538816667,-47.1441171820667,-85.436646273,-398.747430953333
"Madera1",4.4318527627,3.77392906603333,3.66633919096666,-22.0229986114333,-119.920355175333,-406.384034453333
"Madera2",4.36115431416667,4.5935345432,3.8749079716,-24.4802174482,-33.2925981483334,-448.837725506667
"Madera3",4.34825456236667,5.07876106780001,4.01304067176667,-21.2313502715,10.4037839556667,-262.690005556667
"Madera4",4.6032125317,4.72200723723333,4.02868569773333,-27.4710460591,20.1326526183333,-121.782760173333
"Madera6",4.7419782574,5.1370708233,4.0709822542,-22.9663437250667,23.456514788,-62.8561662666666
"Madre_Dios",3.4946882736,4.52783333426667,3.8630728486,-40.1323785615333,-9.49974642000001,-395.21658243
"Mamore1",4.42130640893334,5.47256445530001,4.12795805773333,-13.9820379991,21.4014061006667,-85.2887366700002
"Mamore2",3.7436031382,4.63315443126667,3.92830622663334,-26.3055280522333,10.1730312586666,-240.31434591
"Mantaro",3.39216806716667,3.9645772105,3.84723019992,-12.4686191039,13.7688180643333,-3.23400969433328
"Maranon1",4.40761918673333,2.91978405,3.4655377433,3.35887702700001,-9.74731175366665,141.368401583333
"Maranon3",4.20523875453333,3.54540243096667,3.65193673826667,18.516545739,-115.015791449333,-213.818100326667
"Maranon5",4.09509885912667,4.18658098913333,3.8790470236,-4.87865214246666,-53.480016428,-241.55495493
"Marmelos",4.30635893926666,5.2481239044,4.03970272403333,-11.3757198353667,7.30330594699996,-276.932483816667
"Maues",4.54756357693334,3.70741250096667,3.7088517281,-8.31083300303333,-31.5203976503333,-250.255808973333
"Napo1",4.15787713293333,2.4821033165,3.43551767636666,64.9617412759,-130.359101163,54.1383170833333
"Napo2",3.94592765303334,3.44479563956667,3.6544589526,40.3730023557,-126.350791967,-83.6227477033335
"Negro1",4.24463005113333,2.68506386789999,3.4163447592,18.9418277245,-25.3346385456667,8.19055571000035
"Negro2",4.31219581013333,1.79787653383334,3.27875086426667,51.7539370421667,-46.1102800506666,141.32459471
"Negro3",4.10223707183333,1.5657196899,3.3456309288,65.4106699358,-99.234726275,138.02169615
"Negro5",4.14731486633333,0.836355448999999,3.17597839099999,91.8072089623333,-124.515809376,168.04021959
"Nhamunda",5.10186356823333,4.23055621296666,3.8368393039,-30.8212535550333,-17.03725846,-264.70652968
"Orthon",3.55671036093333,5.0100548348,3.9530835204,-24.5276079116,-13.3243315166667,-203.603748863333
"Pachitea",3.6902991764,3.98967281533334,3.70655973473334,-20.8559076983667,-16.8003430046667,-312.415493413333
"Paru_Este",4.92608817416667,4.7693464849,4.10441748323334,-15.2088823785,-91.7090336783334,-545.947716743333
"Pastaza",4.1682096142,3.42127104476667,3.63583968343334,17.316620267,-109.119567442,-151.09499914
"Purus1",4.46913569446667,4.3845555602,3.81442496946666,-37.4308846652,-0.513793493333367,-223.91496562
"Purus2",4.4190280376,4.2805884634,3.81618610453333,-23.5028669425667,24.6987894206666,-104.06566348
"Purus3",4.06070111323333,3.98258084033333,3.840384906,-27.2456948992667,14.1982412356666,-91.5368890966665
"Putumayo",3.8993009151,2.89389105396666,3.54347415103333,36.3226666440667,-119.267496352667,-39.4439970433332
"Roosevelt",4.42959986429667,4.95128922853333,4.11602204013333,-1.55767922939333,19.9221785203333,-131.214334623333
"Santiago",4.12457650786,4.0602530527,3.7917357782,6.71083317933332,-164.644664977,-303.112704476667
"Solimoes1",4.3976279259,3.28005833996667,3.49733772556667,-40.6682496495667,-27.3323154843333,-190.710511366666
"Solimoes2",4.3686304673,3.50674591326667,3.55076425376667,-32.1435547696667,-59.7560429926666,-181.029219696667
"Solimoes3",4.2577978747,3.31050096006667,3.53400291853333,-14.2721194476667,-90.1375373856667,-104.019782103333
"Solimoes4",4.07873008736667,3.15405884776667,3.54770848986667,2.86733882133331,-166.374882888667,-116.923610693333
"Solimoes7",4.0891265646,3.03575889136667,3.52507345273333,-23.863747317,-62.4415179606667,-24.4970529433331
"Solimoes8",3.9285604103,2.96647565063333,3.53303448413333,-6.79775967099999,-87.3825250983334,-94.0591105466665
"Solimoes9",4.28386760033333,2.8914963864,3.51501163323333,24.4164265276667,-109.349315215333,-31.3439216400002
"Tapajos1",4.7663231229,4.337609297,3.96320125996667,-12.0080950369333,-43.4324797130001,-350.31507457
"Tapajos2",4.2478300214,3.85122512599999,3.760350682,-0.747002243933331,-99.5662007576666,-410.865815813333
"Tapaua",4.416604287,3.54292525633334,3.58973549823333,-48.8600763289667,23.3761342716666,-43.9631474533335
"Tefe",4.37062662473334,3.38894021633334,3.59125680746666,-33.8651330761333,-39.3715454743333,-71.1190496366667
"Teles_Pires",3.9995619709,4.6540780359,4.0821640486,-0.0993298192666661,-34.0958975866666,-301.05683481
"Tigre",4.34964584556667,2.61429354383333,3.3729953159,45.8887506463333,-77.9959579750001,111.14910282
"Trombetas1",5.1332677523,5.085522207,4.01160546146666,10.1455008283333,-44.1465914846667,-291.549522226667
"Uatuma1",4.42839245333333,3.20826281496666,3.5422747988,-1.97162410446667,6.67111018133335,-50.236672266667
"Uaupes",3.79832557703334,2.22151398566667,3.37652870846667,63.1400140901333,-152.487789908667,103.69873828
"Ucayali1",3.8081754898,3.39350511656667,3.43983013026667,-20.9307167055667,-26.1272809986667,-132.12014981
"Ucayali2",3.48873321983333,3.85075398153333,3.70895556026667,-28.6128966885,-12.8831472986667,-261.530688966667
"Unini",4.2655016068,2.37894859976667,3.32499369206667,42.6677177943333,-75.526830282,17.9288397033329
"Urubamba",3.30993335412667,4.09428910256667,3.7219856041,-23.0203545477333,-5.02240173500002,-176.262906006667
"Xingu1",4.466930924,3.9137559449,4.12780905406667,-29.5823300470333,-103.184449429667,-381.02428688
"Xingu3",4.53881586716666,4.01228789789999,4.11172867233334,0.483744978166673,-19.0003663216666,-238.229209876666
"Xingu4",3.91093795656667,4.06686303706666,3.83324741793334,0.153750598516666,-55.1299805126667,-219.43702237
"Xingu6",3.7637797844,3.8913167584,3.72586196626667,-0.0418679064666665,-21.6820524956667,-136.789402596666
"Yacuma",3.50849110943333,4.49562808316666,3.83304183873334,-29.4641047772333,5.81889340033337,-279.814838553333
